StatusGroup	LogsByMinute	CountByMinute	RunningCount
3xx	2018-05-08 16:14	2	2
3xx	2018-05-09 06:16	1	3
3xx	2018-05-09 06:23	1	4
3xx	2018-05-09 06:56	149	153
3xx	2018-05-09 06:57	38	191
3xx	2018-05-09 07:02	1	192
3xx	2018-05-09 07:03	56	248
3xx	2018-05-09 07:04	11	259
3xx	2018-05-09 07:42	8	267
3xx	2018-05-09 07:43	79	346
3xx	2018-05-09 07:44	4	350
3xx	2018-05-09 08:13	2	352
3xx	2018-05-09 08:17	5	357
3xx	2018-05-09 08:19	5	362
3xx	2018-05-09 08:23	7	369
4xx	2018-05-08 15:20	1	370
4xx	2018-05-08 15:43	1	371
4xx	2018-05-08 15:45	3	374
4xx	2018-05-08 16:09	1	375
4xx	2018-05-08 16:13	1	376
4xx	2018-05-09 06:16	1	377
4xx	2018-05-09 06:23	1	378
4xx	2018-05-09 06:56	149	527
4xx	2018-05-09 06:57	38	565
4xx	2018-05-09 07:02	1	566
4xx	2018-05-09 07:03	56	622
4xx	2018-05-09 07:04	11	633
4xx	2018-05-09 07:42	8	641
4xx	2018-05-09 07:43	79	720
4xx	2018-05-09 07:44	4	724
4xx	2018-05-09 08:13	2	726
4xx	2018-05-09 08:17	5	731
4xx	2018-05-09 08:19	5	736
4xx	2018-05-09 08:23	7	743
5xx	2018-05-09 06:16	1	744
5xx	2018-05-09 06:23	1	745
5xx	2018-05-09 06:56	149	894
5xx	2018-05-09 06:57	38	932
5xx	2018-05-09 07:02	1	933
5xx	2018-05-09 07:03	56	989
5xx	2018-05-09 07:04	11	1000
5xx	2018-05-09 07:42	8	1008
5xx	2018-05-09 07:43	79	1087
5xx	2018-05-09 07:44	4	1091
5xx	2018-05-09 08:13	2	1093
5xx	2018-05-09 08:17	5	1098
5xx	2018-05-09 08:19	5	1103
5xx	2018-05-09 08:23	7	1110
